pays,code_pays,annee,produit,code_produit,dispo_int,animal_food,semences,pertes,transfo,nourriture,other_uses
Jamaique,109,2013,Huile de Palmistes,2576,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jamaique,109,2013,Huile de Palme,2577,6000000.0,0.0,0.0,0.0,0.0,0.0,6000000.0
Jamaique,109,2013,Huile de Coco,2578,12000000.0,0.0,0.0,0.0,0.0,12000000.0,0.0
Jamaique,109,2013,Huile de Sesame,2579,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jamaique,109,2013,Huile d'Olive,2580,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jamaique,109,2013,Huile de Germe de Mais,2582,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jamaique,109,2013,Huil Plantes Oleif Autr,2586,3000000.0,0.0,0.0,0.0,0.0,0.0,3000000.0
Jamaique,109,2013,Tomates,2601,34000000.0,0.0,0.0,3000000.0,0.0,31000000.0,0.0
Jamaique,109,2013,Oignons,2602,9000000.0,0.0,0.0,0.0,0.0,9000000.0,0.0
Jamaique,109,2013,"Legumes, Autres",2605,266000000.0,0.0,0.0,24000000.0,0.0,242000000.0,0.0
Jamaique,109,2013,"Oranges, Mandarines",2611,92000000.0,0.0,0.0,9000000.0,0.0,83000000.0,0.0
Jamaique,109,2013,Citrons & Limes,2612,27000000.0,0.0,0.0,0.0,0.0,27000000.0,0.0
Jamaique,109,2013,Pamplemousse,2613,45000000.0,0.0,0.0,4000000.0,0.0,40000000.0,0.0
Jamaique,109,2013,"Agrumes, Autres",2614,1000000.0,0.0,0.0,0.0,0.0,1000000.0,0.0
Jamaique,109,2013,Bananes,2615,37000000.0,0.0,0.0,1000000.0,0.0,35000000.0,0.0
Jamaique,109,2013,Bananes plantains,2616,31000000.0,0.0,0.0,3000000.0,0.0,28000000.0,0.0
Jamaique,109,2013,Pommes,2617,4000000.0,0.0,0.0,0.0,0.0,4000000.0,0.0
Jamaique,109,2013,Ananas,2618,20000000.0,0.0,0.0,1000000.0,0.0,20000000.0,0.0
Jamaique,109,2013,Dattes,2619,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jamaique,109,2013,Raisin,2620,4000000.0,0.0,0.0,0.0,0.0,4000000.0,0.0
Jamaique,109,2013,"Fruits, Autres",2625,53000000.0,0.0,0.0,5000000.0,0.0,49000000.0,0.0
Jamaique,109,2013,Cafe,2630,7000000.0,0.0,0.0,0.0,0.0,7000000.0,0.0
Jamaique,109,2013,Feve de Cacao,2633,2000000.0,0.0,0.0,0.0,0.0,2000000.0,0.0
Jamaique,109,2013,The,2635,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jamaique,109,2013,Poivre,2640,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jamaique,109,2013,Piments,2641,16000000.0,0.0,0.0,0.0,0.0,16000000.0,0.0
Jamaique,109,2013,Girofles,2642,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jamaique,109,2013,"Epices, Autres",2645,3000000.0,0.0,0.0,0.0,0.0,3000000.0,0.0
Jamaique,109,2013,Vin,2655,0.0,0.0,0.0,0.0,0.0,2000000.0,0.0
Jamaique,109,2013,Biere,2656,86000000.0,0.0,0.0,0.0,0.0,86000000.0,0.0
Jamaique,109,2013,Boissons Fermentes,2657,-1000000.0,0.0,0.0,0.0,0.0,0.0,0.0
Jamaique,109,2013,Boissons Alcooliques,2658,9000000.0,0.0,0.0,0.0,0.0,9000000.0,0.0
Jamaique,109,2013,"Alcool, non Comestible",2659,199000000.0,0.0,0.0,0.0,0.0,0.0,199000000.0
